episode,timestep,reward
19,2000,-76.1702
39,4000,-76.3542
59,6000,-75.8085
79,8000,-77.7545
99,10000,-78.9226
119,12000,-75.1919
139,14000,-75.6916
159,16000,-77.0625
179,18000,-76.4528
199,20000,-75.9547
219,22000,-74.1273
239,24000,-73.2254
259,26000,-73.2634
279,28000,-75.104
299,30000,-72.8831
319,32000,-76.6473
339,34000,-75.917
359,36000,-73.6086
379,38000,-72.7418
399,40000,-73.9632
419,42000,-73.8115
439,44000,-73.188
459,46000,-73.8462
479,48000,-74.1405
499,50000,-71.3748
519,52000,-72.5118
539,54000,-71.7706
559,56000,-74.8246
579,58000,-73.6881
599,60000,-74.1286
619,62000,-72.8256
639,64000,-73.9601
659,66000,-75.3923
679,68000,-71.9611
699,70000,-75.4442
719,72000,-74.339
739,74000,-75.0786
759,76000,-71.3686
779,78000,-72.2511
799,80000,-76.3051
819,82000,-69.2721
839,84000,-73.559
859,86000,-72.1093
879,88000,-72.4642
899,90000,-72.0408
919,92000,-73.2584
939,94000,-72.7123
959,96000,-70.7752
979,98000,-72.9851
999,100000,-73.4292
